"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2,C3,C4,C5,C6,C7";"C_0402_1005Metric";7;"100N";;;
2;"D1,D2";"LED_D1.8mm_W3.3mm_H2.4mm";2;"LED";;;
3;"IC1";"2772";1;"2772";;;
4;"R1,R2,R3";"R_0402_1005Metric";3;"100";;;
5;"R4,R5,R6,R7";"R_0402_1005Metric";4;"10k";;;
6;"RV1,RV5,RV6";"Potentiometer_Alps_RK09L_Single_Vertical";3;"10k";;;
7;"RV2,RV3,RV4";"Potentiometer_Bourns_PTA6043_Single_Slide";3;"10k";;;
8;"SW1";"PinHeader_1x02_P2.54mm_Vertical";1;"SW_SPST";;;
9;"SW2";"PinHeader_1x02_P2.54mm_Vertical";1;"SW_Push1";;;
10;"SW3";"PinHeader_1x02_P2.54mm_Vertical";1;"SW_Push2";;;
11;"SW4";"PinHeader_1x02_P2.54mm_Vertical";1;"SW_Push3";;;
12;"SW5";"PinHeader_1x02_P2.54mm_Vertical";1;"SW_Push4";;;
13;"R8,R9";"R_0402_1005Metric";2;"1k";;;
